estado,anio,mes,mes_num,sexo,homicidios_total
Aguascalientes,2019,Febrero,2,Hombre,8
Aguascalientes,2019,Febrero,2,Mujer,3
Aguascalientes,2019,Marzo,3,Hombre,10
Aguascalientes,2019,Abril,4,Hombre,7
Aguascalientes,2019,Mayo,5,Hombre,10
Aguascalientes,2019,Junio,6,Hombre,11
Aguascalientes,2019,Junio,6,Mujer,1
Aguascalientes,2019,Julio,7,Hombre,7
Aguascalientes,2019,Julio,7,Mujer,1
Aguascalientes,2019,Agosto,8,Mujer,1
Aguascalientes,2019,Septiembre,9,Hombre,10
Aguascalientes,2019,Septiembre,9,Mujer,1
Aguascalientes,2019,Octubre,10,Hombre,17
Aguascalientes,2019,Octubre,10,Mujer,1
Aguascalientes,2019,Noviembre,11,Hombre,8
Aguascalientes,2019,Diciembre,12,Hombre,9
Aguascalientes,2019,Diciembre,12,Mujer,1
Aguascalientes,2020,Enero,1,Hombre,5
Aguascalientes,2020,Enero,1,Mujer,1
Aguascalientes,2020,Febrero,2,Hombre,10
Aguascalientes,2020,Febrero,2,Mujer,1
Aguascalientes,2020,Marzo,3,Hombre,6
Aguascalientes,2020,Marzo,3,Mujer,1
Aguascalientes,2020,Abril,4,Hombre,4
Aguascalientes,2020,Mayo,5,Hombre,11
Aguascalientes,2020,Junio,6,Hombre,10
Aguascalientes,2020,Julio,7,Hombre,13
Aguascalientes,2020,Agosto,8,Hombre,10
Aguascalientes,2020,Septiembre,9,Hombre,3
Aguascalientes,2020,Septiembre,9,Mujer,1
Aguascalientes,2020,Octubre,10,Hombre,3
Aguascalientes,2020,Octubre,10,Mujer,1
Aguascalientes,2020,Noviembre,11,Hombre,5
Aguascalientes,2020,Noviembre,11,Mujer,2
Aguascalientes,2020,Diciembre,12,Hombre,2
Aguascalientes,2021,Enero,1,Hombre,4
Aguascalientes,2021,Enero,1,Mujer,2
Aguascalientes,2021,Febrero,2,Hombre,5
Aguascalientes,2021,Febrero,2,Mujer,1
Aguascalientes,2021,Marzo,3,Hombre,7
Aguascalientes,2021,Marzo,3,Mujer,1
Aguascalientes,2021,Abril,4,Hombre,10
