estado,anio,mes,mes_num,homicidios_total
Baja California,2004,Agosto,8,32
Baja California,2004,Septiembre,9,47
Baja California,2004,Octubre,10,48
Baja California,2004,Noviembre,11,47
Baja California,2004,Diciembre,12,33
Baja California,2005,Enero,1,19
Baja California,2005,Febrero,2,25
Baja California,2005,Marzo,3,35
Baja California,2005,Abril,4,52
Baja California,2005,Mayo,5,44
Baja California,2005,Junio,6,21
Baja California,2005,Julio,7,38
Baja California,2005,Agosto,8,45
Baja California,2005,Septiembre,9,41
Baja California,2005,Octubre,10,49
Baja California,2005,Noviembre,11,29
Baja California,2005,Diciembre,12,26
Baja California,2006,Enero,1,35
Baja California,2006,Febrero,2,21
Baja California,2006,Marzo,3,36
Baja California,2006,Abril,4,30
Baja California,2006,Mayo,5,41
Baja California,2006,Junio,6,44
Baja California,2006,Julio,7,40
Baja California,2006,Agosto,8,47
Baja California,2006,Septiembre,9,55
Baja California,2006,Octubre,10,42
Baja California,2006,Noviembre,11,34
Baja California,2006,Diciembre,12,31
Baja California,2007,Enero,1,27
Baja California,2007,Febrero,2,29
Baja California,2007,Marzo,3,43
Baja California,2007,Abril,4,49
Baja California,2007,Mayo,5,44
Baja California,2007,Junio,6,42
Baja California,2007,Julio,7,17
Baja California,2007,Agosto,8,31
Baja California,2007,Septiembre,9,27
Baja California,2007,Octubre,10,18
Baja California,2007,Noviembre,11,19
Baja California,2007,Diciembre,12,14
Baja California,2008,Enero,1,53
Baja California,2008,Febrero,2,46
Baja California,2008,Marzo,3,57
Baja California,2008,Abril,4,63
Baja California,2008,Mayo,5,51
Baja California,2008,Junio,6,64
Baja California,2008,Julio,7,47
Baja California,2008,Agosto,8,39
Baja California,2008,Septiembre,9,60
Baja California,2008,Octubre,10,198
Baja California,2008,Noviembre,11,198
Baja California,2008,Diciembre,12,138
Baja California,2009,Enero,1,163
Baja California,2009,Febrero,2,131
Baja California,2009,Marzo,3,116
Baja California,2009,Abril,4,110
Baja California,2009,Mayo,5,104
Baja California,2009,Junio,6,76
Baja California,2009,Julio,7,106
Baja California,2009,Agosto,8,113
Baja California,2009,Septiembre,9,130
Baja California,2009,Octubre,10,94
Baja California,2009,Noviembre,11,99
Baja California,2009,Diciembre,12,227
Baja California,2010,Enero,1,259
Baja California,2010,Febrero,2,128
Baja California,2010,Marzo,3,119
Baja California,2010,Abril,4,154
Baja California,2010,Mayo,5,129
Baja California,2010,Junio,6,115
Baja California,2010,Julio,7,128
Baja California,2010,Agosto,8,137
Baja California,2010,Septiembre,9,79
Baja California,2010,Octubre,10,65
Baja California,2010,Noviembre,11,95
Baja California,2010,Diciembre,12,98
Baja California,2011,Enero,1,92
Baja California,2011,Febrero,2,53
Baja California,2011,Marzo,3,74
Baja California,2011,Abril,4,62
Baja California,2011,Mayo,5,67
Baja California,2011,Junio,6,62
Baja California,2011,Julio,7,61
Baja California,2011,Agosto,8,60
Baja California,2011,Septiembre,9,54
Baja California,2011,Octubre,10,76
Baja California,2011,Noviembre,11,63
Baja California,2011,Diciembre,12,39
Baja California,2012,Enero,1,62
Baja California,2012,Febrero,2,45
Baja California,2012,Marzo,3,50
Baja California,2012,Abril,4,47
Baja California,2012,Mayo,5,43
Baja California,2012,Junio,6,36
Baja California,2012,Julio,7,57
Baja California,2012,Agosto,8,30
Baja California,2012,Septiembre,9,64
Baja California,2012,Octubre,10,46
Baja California,2012,Noviembre,11,47
Baja California,2012,Diciembre,12,27
Baja California,2013,Enero,1,57
Baja California,2013,Febrero,2,38
Baja California,2013,Marzo,3,53
Baja California,2013,Abril,4,74
Baja California,2013,Mayo,5,68
Baja California,2013,Junio,6,46
Baja California,2013,Julio,7,67
Baja California,2013,Agosto,8,48
Baja California,2013,Septiembre,9,77
Baja California,2013,Octubre,10,68
Baja California,2013,Noviembre,11,70
Baja California,2013,Diciembre,12,75
Baja California,2014,Enero,1,57
Baja California,2014,Febrero,2,58
Baja California,2014,Marzo,3,69
Baja California,2014,Abril,4,46
Baja California,2014,Mayo,5,51
Baja California,2014,Junio,6,52
Baja California,2014,Julio,7,69
Baja California,2014,Agosto,8,54
Baja California,2014,Septiembre,9,74
Baja California,2014,Octubre,10,59
Baja California,2014,Noviembre,11,47
Baja California,2014,Diciembre,12,44
Baja California,2015,Enero,1,53
Baja California,2015,Febrero,2,42
Baja California,2015,Marzo,3,46
Baja California,2015,Abril,4,72
Baja California,2015,Mayo,5,61
Baja California,2015,Junio,6,79
Baja California,2015,Julio,7,64
Baja California,2015,Agosto,8,96
Baja California,2015,Septiembre,9,57
Baja California,2015,Octubre,10,97
Baja California,2015,Noviembre,11,74
Baja California,2015,Diciembre,12,88
Baja California,2016,Enero,1,76
Baja California,2016,Febrero,2,79
Baja California,2016,Marzo,3,88
Baja California,2016,Abril,4,69
Baja California,2016,Mayo,5,85
Baja California,2016,Junio,6,73
Baja California,2016,Julio,7,91
Baja California,2016,Agosto,8,79
Baja California,2016,Septiembre,9,116
Baja California,2016,Octubre,10,93
Baja California,2016,Noviembre,11,113
Baja California,2016,Diciembre,12,145
Baja California,2017,Enero,1,88
Baja California,2017,Febrero,2,142
Baja California,2017,Marzo,3,181
Baja California,2017,Abril,4,126
Baja California,2017,Mayo,5,169
Baja California,2017,Junio,6,177
Baja California,2017,Julio,7,166
Baja California,2017,Agosto,8,175
Baja California,2017,Septiembre,9,242
Baja California,2017,Octubre,10,214
Baja California,2017,Noviembre,11,210
Baja California,2017,Diciembre,12,191
